constituency,constituency_code,level,scheme,year,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due
bissam cuttack (st),139,AC,MNREGA,2018-19,-217.2,1435.11,993.6,676.98,11.610000000000001,0,1682.27,-247.18,14.95
bonai (st),14,AC,MNREGA,2018-19,0,1660.13,1446.12,252.73,0.91,0,1699.8,-39.67,11.69
rayagada (st),140,AC,MNREGA,2018-19,-297.96999999999997,1437.54,916.85,819.15,2.83,0,1738.85,-301.32,30.8
lakshmipur (st),141,AC,MNREGA,2018-19,-1.61,3619.29,2272.54,1367.82,53.16,0,3693.5,-74.21,44.04
kotpad (st),142,AC,MNREGA,2018-19,-1.08,2710.66,1767.88,1051.52,44.160000000000004,0,2863.55,-152.87,21.7
jeypore,143,AC,MNREGA,2018-19,-0.35,1693.31,1046.81,641.61,2.66,0,1691.06,2.28,11.97
koraput (sc),144,AC,MNREGA,2018-19,-3.62,1843.18,1374.54,688.04,61.03,0,2175.39,-332.24,28.58
pottangi (st),145,AC,MNREGA,2018-19,-0.22,3014.1,1965.81,1020.52,41.47,0,3027.73,-13.61,35.76
malkangiri (st),146,AC,MNREGA,2018-19,57.45,660.46,493.19,110,0.23,0,603.38,57.07,4.62
chitrakonda (st),147,AC,MNREGA,2018-19,28.99,581.56,502.6,87.76,0.29,0,590.65,-9.07,4.21
kuchinda (st),15,AC,MNREGA,2018-19,18.4,1433.54,1138.98,268.79,5.89,0,1413.68,19.87,7.41
rengali (sc),16,AC,MNREGA,2018-19,7.45,978.15,769.23,207.23,0.8099999999999999,0,977.26,0.9099999999999998,6.71
rairakhol,18,AC,MNREGA,2018-19,18.48,1351.65,1030.36,307.63,3.48,0,1341.54,10.15,11
deogarh,19,AC,MNREGA,2018-19,-27.69,2031.54,1379.49,670.78,7.02,0,2057.28,-25.71,12.44
bijepur,2,AC,MNREGA,2018-19,20.81,759.3100000000001,704.65,299.05,10.62,0,1014.3,-254.95,4.43
telkoi (st),20,AC,MNREGA,2018-19,-225.39,1767.61,1368.37,634.21,9.59,0,2012.19,-244.57,10.82
ghasipura,21,AC,MNREGA,2018-19,34.01,1543.77,1257.94,312.52,20.88,0,1591.3899999999999,-47.61,8.31
anandapur (sc),22,AC,MNREGA,2018-19,39.830000000000005,2097.98,1514.82,541.3,12.51,0,2068.66,29.32,8.29
patna (st),23,AC,MNREGA,2018-19,-215.6,2090.08,1801.1299999999999,695.22,23.03,0,2519.4,-429.27,7.08
keonjhar (st),24,AC,MNREGA,2018-19,138.15,1266.02,951.64,226.44,2.91,0,1180.99,85.04,3.02
champua,25,AC,MNREGA,2018-19,-33.57,797.31,612.71,261.07,4.03,0,877.8,-80.49,3.63
jashipur (st),26,AC,MNREGA,2018-19,0,1669.43,1139.59,606.55,7.67,0,1753.83,-84.44,9.31
saraskana (st),27,AC,MNREGA,2018-19,0,4199.6900000000005,1957.84,2351.94,11.7,0,4321.54,-121.84,77.99
rairangpur (st),28,AC,MNREGA,2018-19,0,2706.66,1644.11,1020.92,13.62,0,2678.69,27.98,7.26
bangriposi (st),29,AC,MNREGA,2018-19,0,2594.39,1187.54,1385.17,10.52,0,2583.2400000000002,11.15,4.08
bargarh,3,AC,MNREGA,2018-19,-0.06,54.42,277,96.47,0.12,0,373.56,-319.19,1.8
karanjia (st),30,AC,MNREGA,2018-19,0,2708.88,1458.91,1229.48,17.03,0,2705.42,3.43,9.95
udala (st),31,AC,MNREGA,2018-19,0,2730.53,1446.07,1260.75,14.91,0,2721.75,8.78,12.33
badasahi (sc),32,AC,MNREGA,2018-19,0,954.73,694.11,252.47,3.98,0,950.59,4.14,1.79
baripada (st),33,AC,MNREGA,2018-19,0,850.97,540.61,368.57,2.82,0,911.98,-61,4.6
morada,34,AC,MNREGA,2018-19,0,1027.57,773.02,249.2,1.34,0,1023.59,3.98,5.94
jaleswar,35,AC,MNREGA,2018-19,-60.440000000000005,235.35999999999999,328.45,55.1,2.72,0,386.27,-150.91,1.34
bhograi,36,AC,MNREGA,2018-19,0,0.15,14.99,4.5600000000000005,0,0,19.54,-19.4,0.07
basta,37,AC,MNREGA,2018-19,0.06000000000000001,279.97,272.28,83.1,3.25,0,358.6,-78.69,1.07
balasore,38,AC,MNREGA,2018-19,5.12,175.51,109.4,9.01,0.13,0,118.53,56.99,1.62
remuna (sc),39,AC,MNREGA,2018-19,5.82,82.09,52.36,72.2,0.08,0,124.61,-42.57,1.2
attabira (sc),4,AC,MNREGA,2018-19,13.17,335.89,467.99,157.34,1.28,0,626.63,-290.69,2.22
nilgiri,40,AC,MNREGA,2018-19,5.69,241.1,212.31,29.79,0,0,242.10999999999999,-0.9600000000000009,1.61
soro (sc),41,AC,MNREGA,2018-19,7.4,93.67,62.15,43.4,0.44,0,106.03,-12.38,0.65
simulia,42,AC,MNREGA,2018-19,2.29,164.86,98,98.99,0.14,0,197.07999999999998,-32.230000000000004,1.37
bhandaripokhari,43,AC,MNREGA,2018-19,-0.04,301.2,292.93,29.830000000000002,0,0,322.77,-21.630000000000003,3.22
bhadrak,44,AC,MNREGA,2018-19,0,331.68,314.35,17.12,0,0,331.47,0.18,3.07
basudevpur,45,AC,MNREGA,2018-19,-0.01,386.86,394,58.14,0,0,452.12,-65.27,10.24
dhamnagar,46,AC,MNREGA,2018-19,-0.08,468.5,453.35,19.96,0.03,0,473.34,-4.81,7.51
chandabal,47,AC,MNREGA,2018-19,0,398.77,379.23,21.89,0,0,401.12,-2.3699999999999997,5.94
binjharpur (sc),48,AC,MNREGA,2018-19,-0.03,1097.43,801.47,333.89,0,0,1135.38,-37.97,4.45
bari,49,AC,MNREGA,2018-19,0,589.55,398.73,266.34,2.03,0,667.08,-77.54,6.2
bhatli,5,AC,MNREGA,2018-19,18.06,985.08,802,281.54,0.36,0,1083.91,-98.84,3.7
barachana,50,AC,MNREGA,2018-19,0,160.2,209.01,143.17,0,0,352.2,-192,3.0300000000000002
dharmasala,51,AC,MNREGA,2018-19,0,378.95,360.2,328.23,0.22,0,688.6,-309.69,1.28
jajpur,52,AC,MNREGA,2018-19,0,549.61,463.3,152.28,0,0,615.53,-65.97,4.390000000000001
korei,53,AC,MNREGA,2018-19,0,604.68,454.66999999999996,354.35,0.24000000000000002,0,809.22,-204.55,5.36
sukinda,54,AC,MNREGA,2018-19,0,464.49,440.52,44.87,0.75,0,486.17,-21.69,4.55
dhenkanal,55,AC,MNREGA,2018-19,4.1,948.9399999999999,715.79,345.73,1.61,0,1063.14,-114.28,7.89
hindol (sc),56,AC,MNREGA,2018-19,11.9,749.11,610.79,203.81,1.3800000000000001,0,815.97,-66.85,6.79
kamakhyanagar,57,AC,MNREGA,2018-19,11.92,677.75,571.01,310.77,1.4000000000000001,0.01,883.24,-205.48,5.98
parjanga,58,AC,MNREGA,2018-19,11.16,1241.83,970.07,380.18,5.42,0,1355.64,-113.79,19.169999999999998
pallahara,59,AC,MNREGA,2018-19,5.72,514.47,374.85,230.87,2.57,0,608.34,-93.83,7.42
brajarajnagar,6,AC,MNREGA,2018-19,0,441.62,411.5,56.89,1.52,0,469.93,-28.27,1.47
talcher,60,AC,MNREGA,2018-19,4.46,47.37,47.62,8.27,0.71,0,56.62,-9.23,0.08
angul,61,AC,MNREGA,2018-19,0.67,279.42,266.82,45.88,2.0100000000000002,0,314.71,-35.260000000000005,2.97
chhendipada (sc),62,AC,MNREGA,2018-19,24.16,224.84,188.04,156.73,0.76,0,345.46,-120.61,2.61
athamallik,63,AC,MNREGA,2018-19,4.67,743.53,599.58,178.25,1.1600000000000001,0,778.98,-35.41,6.17
birmaharajpur (sc),64,AC,MNREGA,2018-19,0,113.41,100.69,19.66,0.02,0,120.35,-6.97,2.03
sonepur,65,AC,MNREGA,2018-19,0,215.63,204.28,27.74,0.42,0,232.47,-16.87,6.630000000000001
loisingha (sc),66,AC,MNREGA,2018-19,21.09,1423.43,1194.1299999999999,223.85999999999999,2.59,0,1420.49,2.9100000000000006,14.31
patnagarh,67,AC,MNREGA,2018-19,68.59,1610.14,1388.7,146.56,0,0,1535.27,74.87,15.87
bolangir,68,AC,MNREGA,2018-19,23.56,895.97,773.82,96.6,0,0,870.47,25.52,5.6
titlagarh,69,AC,MNREGA,2018-19,-115.64,1479.1100000000001,1307.3799999999999,285.05,1.58,0,1594.01,-114.91,9.71
jharsuguda,7,AC,MNREGA,2018-19,0,680.33,607.04,152.68,5.29,0,765,-84.67,5.25
kantabanji,70,AC,MNREGA,2018-19,-63.84,2425.61,1806.38,683.99,2.38,0,2492.73,-67.13,20.97
nuapada,71,AC,MNREGA,2018-19,16.43,1327.74,1177,159.57999999999998,4.96,0,1341.52,-13.800000000000002,21.27
kharia,72,AC,MNREGA,2018-19,-80.01,1660.56,1459.35,275.43,1.4200000000000002,0,1736.15,-75.61,25.76
umerkote (st),73,AC,MNREGA,2018-19,-23.689999999999998,709.35,484.94,194.13,2.59,0,681.6999999999999,27.619999999999997,7.63
jharigam (st),74,AC,MNREGA,2018-19,-5.83,1397.27,991.57,396.95,5.41,0,1393.8999999999999,3.359999999999999,12.59
nabarangpur (st),75,AC,MNREGA,2018-19,13.7,1090.02,781.54,294.69,0,0,1076.25,13.860000000000001,8.42
dabugam (st),76,AC,MNREGA,2018-19,-54.56,972.55,705.22,324.63,0,0,1029.85,-57.28,8.71
lanjigarh (st),77,AC,MNREGA,2018-19,0,795.53,442.43,419.54,9.08,0,871.05,-75.52,12.56
junagarh,78,AC,MNREGA,2018-19,0,399.55,239.38,146.93,6.13,0,392.43,7.11,3.49
dharamgarh,79,AC,MNREGA,2018-19,0,445.17,246.03,203.43,0.27,0,449.67,-4.53,3.27
talsara (st),8,AC,MNREGA,2018-19,0,2708.17,1966.18,886.92,5.18,0,2858.28,-150.15,21.98
bhawanipatna (sc),80,AC,MNREGA,2018-19,0,469.06,223.31,215.06,6.89,0,445.24,23.79,2.22
narla,81,AC,MNREGA,2018-19,0,755.33,338.48,377.85,2.7800000000000002,0,719.08,36.24,2.99
baliguda (st),82,AC,MNREGA,2018-19,-0.23,1760.72,1409.84,406.32,2.93,0,1819.07,-58.32,11.16
g. udayagiri (st),83,AC,MNREGA,2018-19,0,1323.46,1069.24,315.27,0.17,0,1384.67,-61.15,9.39
phulbani (st),84,AC,MNREGA,2018-19,-0.02,1547.7,1448.73,118.69,0.13,0.49,1568.05,-20.36,6.39
kantamal,85,AC,MNREGA,2018-19,-9.7,1336.09,1189.86,267.77,0.27,0,1457.88,-121.78,22.85
boudh,86,AC,MNREGA,2018-19,-8.8,669.15,581.78,100.45,2.96,0,685.2,-16.06,15.77
baramba,87,AC,MNREGA,2018-19,0,646.3,839,258.8,0.32,0,1098.14,-451.82,11.14
banki,88,AC,MNREGA,2018-19,0,94.88000000000001,320.37,34.1,0.16,0,354.65,-259.79,2.24
athagarh,89,AC,MNREGA,2018-19,0,28.86,187.26,54.54,0,0,241.78,-212.89,1.78
sundargarh (st),9,AC,MNREGA,2018-19,0,2578.36,2058.82,836.99,7.88,0,2903.7,-325.3,17
choudwar- cuttack,91,AC,MNREGA,2018-19,0,0,22.69,8.33,0,0,31.03,-31.03,0.03
niali (sc),92,AC,MNREGA,2018-19,0,149.79,155.47,58.15,0.53,0,214.09,-64.31,2.16
cuttack sadar (sc),93,AC,MNREGA,2018-19,0,28.62,79.31,24.380000000000003,0.07,0,103.77,-75.11,0.51
salipur,94,AC,MNREGA,2018-19,0,103.19,213.92,54.99,1.85,0,270.76,-167.52,5.32
mahanga,95,AC,MNREGA,2018-19,0,129.57,418.65,165.02,0,0,583.67,-454.13,3.61
patkura,96,AC,MNREGA,2018-19,0,117.65,356.35,176.82,0.16999999999999998,0,533.4,-415.77,2.2
kendrapara (sc),97,AC,MNREGA,2018-19,0,121.75,297.37,76.98,0.8400000000000001,0,375.15999999999997,-253.43,2.15
aul,98,AC,MNREGA,2018-19,0,175.68,539.8100000000001,180.4,0,0,720.19,-544.54,4
rajanagar,99,AC,MNREGA,2018-19,0,294.81,577.74,202.7,1.51,0,782,-487.28000000000003,6.72
